"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"CHECK_PRICES";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"MF";"MP";"NUMBER_OF_POSITIONS";"PACKAGE";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"SNAPEDA_LINK";
"1";"1 Ohm";"R_R0402";"R0402";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10MFD";"C_C0805";"C0805";"C10_A, C10_B";"Capacitor SMD.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"282837-4";"282837-4";"TE_282837-4";"J1";"Check availability";"In Stock";"";"https://www.snapeda.com/parts/282837-4/TE+Connectivity+AMP+Connectors/view-part/?ref=eda";"282837-4";"                                                      Terminal Block Connector,PCB,4,5.08 mm,Front,30-16 AWG,Green,13.5 A,250 V | TE Connectivity 282837-4                                              ";"Compliant with Exemptions";"TE Connectivity";"282837-4";"";"None";"None";"";"";"https://www.snapeda.com/parts/282837-4/TE+Connectivity+AMP+Connectors/view-part/?ref=snap";
"1";"292303-1";"292303-1";"TE_292303-1";"J2";"CONN USB RECEPT R/A TYPE A 4POS Check availability";"In Stock";"2 mm[.078 in]";"";"292303-1";" Conn";" Data";" USB";" Recept";" 2.0";" 4 Pos";" 1 Port";" Rt Angle";" A Ser";" Tin over Copper ";
"1";"ECA1CM101B";"ECA1CM101B";"CAPPRD500W50D500H1100";"C3";"Check availability";"In Stock";"";"https://www.snapeda.com/parts/ECA-1CM101B/Panasonic/view-part/?ref=eda";"";"                                                      Capacitor,Alum Lytic,Cap 100 uF,Tol 20%,Vol-Rtg 16 VDC,Radial,5x11,Tape&Box | Panasonic Electronic Components ECA-1CM101B                                              ";"";"Panasonic";"ECA-1CM101B";"";"RADIAL-2 Panasonic";"None";"";"";"https://www.snapeda.com/parts/ECA-1CM101B/Panasonic/view-part/?ref=snap";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM1117IMPX-5.0";"LM1117IMPX-5.0";"SOT230P700X180-4N";"VR1";"Check availability";"In Stock";"";"https://www.snapeda.com/parts/LM1117IMPX-5.0/Texas+Instruments/view-part/?ref=eda";"";"                                                      Linear Voltage Regulator IC Positive Fixed 1 Output 800mA SOT-223-4                                              ";"";"Texas Instruments";"LM1117IMPX-5.0";"";"SOT-223-4 Texas Instruments";"None";"";"";"https://www.snapeda.com/parts/LM1117IMPX-5.0/Texas+Instruments/view-part/?ref=snap";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PJ-102A";"PJ-102A";"CUI_PJ-102A";"J3";"Check availability";"In Stock";"";"https://www.snapeda.com/parts/PJ-102A/Same+Sky/view-part/?ref=eda";"";"                                                      2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Tapered Pins, Dc Power Jack Connector                                              ";"";"Same Sky";"PJ-102A";"";"None";"None";"";"";"https://www.snapeda.com/parts/PJ-102A/Same+Sky/view-part/?ref=snap";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ROB-14450";"ROB-14450";"MODULE_ROB-14450";"U2";"Check availability";"Not in stock";"";"https://www.snapeda.com/parts/ROB-14450/SparkFun/view-part/?ref=eda";"";"                                                      TB6612FNG - Motor Controller/Driver Power Management Evaluation Board                                              ";"";"SparkFun Electronics";"ROB-14450";"";"None";"None";"";"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=2656367&manufacturer=SparkFun Electronics&part_name=ROB-14450&search_term=None";"https://www.snapeda.com/parts/ROB-14450/SparkFun/view-part/?ref=snap";
